replicon	mutpos	genepos	muttype	genetype
tig00000001	577320	577143.0	bps	CDS
tig00000001	586468	586614.5	bps	CDS
tig00000001	956552	956298.5	bps	CDS
tig00000001	1411396	1410855.5	bps	CDS
tig00000001	1830003	1830203.0	bps	CDS
tig00000001	1862042	1862070.0	bps	CDS
tig00000001	1889752	1890097.0	bps	CDS
tig00000001	2172232	2172232	bps	IGR
tig00000001	1934581	1934444.5	bps	CDS
tig00000001	2362174	2361213.0	bps	CDS
tig00000001	68891	68669.5	bps	CDS
tig00000001	1163231	1163024.5	bps	CDS
tig00000001	1887882	1888156.5	bps	CDS
tig00000001	215348	215651.5	bps	CDS
tig00000001	242073	242073	bps	IGR
tig00000001	242074	242074	bps	IGR
tig00000001	2508545	2509138.0	bps	CDS
tig00000001	391080	390807.0	bps	CDS
tig00000001	663892	664501.5	bps	CDS
tig00000020	235906	235967.5	bps	CDS
tig00000001	1022818	1022330.5	bps	CDS
tig00000001	1030554	1030530.0	bps	CDS
tig00000001	1030555	1030530.0	bps	CDS
tig00000001	1364281	1364777.5	bps	CDS
tig00000001	2087717	2088497.5	bps	CDS
tig00000001	2947246	2946410.0	bps	CDS
tig00000001	2960824	2961103.0	bps	CDS
tig00000001	668367	668503.5	bps	CDS
tig00000001	688781	687821.5	bps	CDS
tig00000001	2042086	2042086	bps	IGR
tig00000001	2326417	2326311.0	bps	CDS
tig00000001	530782	531237.0	bps	CDS
tig00000001	592432	592432	bps	IGR
tig00000001	596278	596066.5	bps	CDS
tig00000020	139769	139662.5	bps	CDS
tig00000001	1446349	1446651.0	bps	CDS
tig00000001	2220533	2221088.5	bps	CDS
tig00000001	560991	560366.5	bps	CDS
tig00000001	725031	725031	bps	IGR
tig00000001	981532	981532	bps	IGR
tig00000001	1059200	1058920.0	bps	CDS
tig00000001	1525501	1525322.5	bps	CDS
tig00000001	2256675	2256064.0	bps	CDS
tig00000001	2306874	2306779.0	bps	CDS
tig00000001	2651936	2651936	bps	IGR
tig00000001	523760	523760	bps	IGR
tig00000001	849780	849780	bps	IGR
tig00000001	1230011	1229791.5	bps	CDS
tig00000001	1409809	1409912.0	bps	CDS
tig00000001	2182407	2182407	bps	IGR
tig00000001	244096	243884.0	bps	CDS
tig00000001	357392	357556.5	bps	CDS
tig00000001	449529	449672.5	bps	CDS
tig00000001	868328	868455.0	bps	CDS
tig00000020	78450	78475.0	bps	CDS
tig00000001	1266488	1266574.0	bps	CDS
tig00000001	1535938	1536343.0	bps	CDS
tig00000001	166925	166152.0	bps	CDS
tig00000001	1723352	1723458.5	bps	CDS
tig00000001	2090775	2090426.5	bps	CDS
tig00000001	2816949	2816986.5	bps	CDS
tig00000001	588434	588082.0	bps	CDS
tig00000001	737716	737564.0	bps	CDS
tig00000020	257062	257359.5	bps	CDS
tig00000001	1431454	1431928.0	bps	CDS
tig00000001	1872134	1872382.0	bps	CDS
tig00000001	477798	477798	bps	IGR
tig00000001	496808	496584.5	bps	CDS
tig00000001	39911	40225.5	bps	CDS
tig00000001	571349	571408.5	bps	CDS
tig00000001	961788	961584.5	bps	CDS
tig00000001	2958687	2958592.5	bps	CDS
tig00000001	513977	513977	bps	IGR
tig00000001	932975	934672.5	bps	CDS
tig00000001	1158826	1159105.0	bps	CDS
tig00000001	147170	146618.5	bps	CDS
tig00000001	1610953	1610823.0	bps	CDS
tig00000001	1996756	1996756	bps	IGR
tig00000001	2441957	2442414.5	bps	CDS
tig00000001	533437	533562.5	bps	CDS
tig00000001	1457066	1457262.0	bps	CDS
tig00000001	2084262	2084262	bps	IGR
tig00000001	2216952	2216657.0	bps	CDS
tig00000001	2716865	2717279.5	bps	CDS
tig00000001	568412	568412	bps	IGR
tig00000001	852071	852071	bps	IGR
tig00000001	1021947	1022330.5	bps	CDS
tig00000001	1789700	1788437.5	bps	CDS
tig00000001	182173	182149.5	bps	CDS
tig00000001	2619546	2619262.5	bps	CDS
tig00000001	334674	334342.0	bps	CDS
tig00000001	489712	489876.5	bps	CDS
tig00000001	594810	594732.0	bps	CDS
tig00000001	745726	745827.0	bps	CDS
tig00000001	1595163	1595089.0	bps	CDS
tig00000001	2170678	2170282.0	bps	CDS
tig00000001	2348739	2348668.0	bps	CDS
tig00000001	406462	407190.0	bps	CDS
tig00000001	2348739	2348668.0	bps	CDS
tig00000001	859978	859978	bps	IGR
tig00000020	34349	33617.5	bps	CDS
tig00000001	1553416	1552559.5	bps	CDS
tig00000001	1963820	1963820	bps	IGR
tig00000001	1983644	1984223.0	bps	CDS
tig00000001	939156	938880.0	bps	CDS
tig00000001	976967	976718.0	bps	CDS
tig00000001	100166	100225.5	bps	CDS
tig00000001	1614464	1614464	bps	IGR
tig00000001	1241615	1240875.5	bps	CDS
tig00000001	1547208	1548273.0	bps	CDS
tig00000001	2087059	2086908.5	bps	CDS
tig00000001	2670477	2670714.5	bps	CDS
tig00000001	2880192	2880192	bps	IGR
tig00000001	598978	599159.5	bps	CDS
tig00000001	1123485	1123485	bps	IGR
tig00000001	1883240	1883578.5	bps	CDS
tig00000001	1242065	1242450.0	bps	CDS
tig00000001	2608912	2609044.0	bps	CDS
tig00000001	2826169	2826169	bps	IGR
tig00000001	523757	523757	bps	IGR
tig00000001	758176	758176	bps	IGR
tig00000001	2434507	2434136.0	bps	CDS
tig00000001	2807906	2807903.5	bps	CDS
tig00000001	400662	400446.5	bps	CDS
tig00000020	52964	52665.0	bps	CDS
tig00000001	1027451	1026974.5	bps	CDS
tig00000001	1310213	1310213	bps	IGR
tig00000001	1383379	1383379	bps	IGR
tig00000001	2088247	2088497.5	bps	CDS
tig00000001	2845544	2845597.0	bps	CDS
tig00000001	737551	737564.0	bps	CDS
tig00000001	943352	942922.0	bps	CDS
tig00000001	1557525	1557525	bps	IGR
tig00000001	1840736	1841113.0	bps	CDS
tig00000001	2876286	2878012.5	bps	CDS
tig00000020	139575	139662.5	bps	CDS
tig00000001	1282338	1282125.5	bps	CDS
tig00000001	2333418	2333549.5	bps	CDS
tig00000001	331510	331510	bps	IGR
tig00000001	816935	816369.5	bps	CDS
tig00000001	1276970	1277234.0	bps	CDS
tig00000001	674838	674499.0	bps	CDS
tig00000001	1050902	1051192.0	bps	CDS
tig00000001	121207	121230.0	bps	CDS
tig00000001	2443134	2442414.5	bps	CDS
tig00000001	2577504	2577376.0	bps	CDS
tig00000001	1550962	1552559.5	bps	CDS
tig00000001	555582	555410.5	bps	CDS
tig00000001	653252	653347.0	bps	CDS
tig00000020	86181	85845.5	bps	CDS
tig00000020	278039	278440.5	del	CDS
tig00000001	1722925	1722925	ins	IGR
tig00000001	411351	411657.5	ins	CDS
tig00000001	1854550	1854704.5	del	CDS
tig00000001	1397375	1398195.0	del	CDS
tig00000001	110095	110400.0	del	CDS
tig00000001	1530741	1530741	del	IGR
tig00000001	1273005	1272900.0	ins	CDS
tig00000001	2515607	2515607	ins	IGR
tig00000001	685999	685999	ins	IGR
tig00000001	1613282	1613166.0	del	CDS
tig00000001	1613282	1613166.0	del	CDS
tig00000001	769374	769196.0	del	CDS
tig00000001	769382	769196.0	ins	CDS
tig00000001	769384	769196.0	ins	CDS
tig00000001	769386	769196.0	ins	CDS
tig00000020	239488	239953.0	del	CDS
tig00000001	1558288	1558288	ins	IGR
tig00000001	214260	214397.0	del	CDS
tig00000001	110095	110400.0	del	CDS
tig00000001	609236	609526.5	del	CDS
tig00000020	203965	203669.0	del	CDS
tig00000001	556448	556448	del	IGR
tig00000001	568215	568215	ins	IGR
tig00000001	491379	493629.5	del	CDS
tig00000001	487859	487818.5	ins	CDS
tig00000020	173198	173198	del	IGR
tig00000001	666615	666349.0	del	CDS
tig00000001	947737	947737	del	IGR
tig00000001	1006188	1006184.0	del	CDS
tig00000001	110095	110400.0	del	CDS
tig00000001	1000297	1000297	del	IGR
tig00000001	442701	442840.0	ins	CDS
tig00000001	1518683	1519060.0	ins	CDS
tig00000001	286693	286693	ins	IGR
tig00000001	2035314	2035632.5	del	CDS
