replicon	mutpos	genepos	muttype	genetype	locus
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	1771615	1771571.0	bps	CDS	DSHI_RS08660
NC_009952	1943836	1943370.5	bps	CDS	DSHI_RS09510
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009958	29196	29196	bps	IGR	-
NC_009952	1182150	1182150	bps	IGR	-
NC_009952	2626669	2627112.0	bps	CDS	DSHI_RS12585
NC_009952	2643393	2643393	bps	IGR	-
NC_009952	1095905	1095828.0	bps	CDS	DSHI_RS05430
NC_009952	139079	139079	bps	IGR	-
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1797267	1796991.0	bps	CDS	DSHI_RS08805
NC_009952	1807005	1807501.0	bps	CDS	DSHI_RS08860
NC_009952	806115	806049.5	bps	CDS	DSHI_RS04085
NC_009952	1970747	1971835.5	bps	CDS	DSHI_RS09650
NC_009952	243180	243180	bps	IGR	-
NC_009952	3001113	3001031.0	bps	CDS	DSHI_RS14430
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009955	44051	44436.0	bps	CDS	DSHI_RS18435
NC_009955	44057	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1130448	1130227.5	bps	CDS	DSHI_RS05640
NC_009952	2218585	2218585	bps	IGR	-
NC_009952	2757042	2757223.5	bps	CDS	DSHI_RS21790
NC_009952	2854516	2854516	bps	IGR	-
NC_009952	755699	755759.5	bps	CDS	DSHI_RS03820
NC_009952	3017190	3017247.5	bps	CDS	DSHI_RS14505
NC_009952	1062669	1062669	bps	IGR	-
NC_009952	1924013	1924255.5	bps	CDS	DSHI_RS09405
NC_009952	2850233	2850274.0	bps	CDS	DSHI_RS13650
NC_009952	3719897	3718778.5	bps	CDS	DSHI_RS17895
NC_009952	1445763	1445902.0	bps	CDS	DSHI_RS07090
NC_009952	2119921	2119934.5	bps	CDS	DSHI_RS10195
NC_009952	2545682	2545682	bps	IGR	-
NC_009952	1393088	1392828.0	bps	CDS	DSHI_RS06820
NC_009952	2000757	2000705.5	bps	CDS	DSHI_RS22295
NC_009952	2164146	2164146	bps	IGR	-
NC_009952	3235705	3235705	bps	IGR	-
NC_009956	7272	7382.5	bps	CDS	DSHI_RS19170
NC_009952	2190558	2190558	bps	IGR	-
NC_009952	2378307	2378764.0	bps	CDS	DSHI_RS11465
NC_009952	1936575	1936445.5	bps	CDS	DSHI_RS09475
NC_009952	1962280	1962806.0	bps	CDS	DSHI_RS09605
NC_009952	2084985	2084556.5	bps	CDS	DSHI_RS10045
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1017715	1018991.0	bps	CDS	DSHI_RS05075
NC_009952	566652	566652	bps	IGR	-
NC_009956	67606	67127.5	bps	CDS	DSHI_RS19465
NC_009952	1832808	1833378.0	bps	CDS	DSHI_RS08990
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009955	44792	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1460862	1460680.0	bps	CDS	DSHI_RS07155
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	891088	891088	bps	IGR	-
NC_009952	2514593	2514744.5	bps	CDS	DSHI_RS12115
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	1577162	1577274.0	bps	CDS	DSHI_RS07710
NC_009952	3726257	3726558.5	bps	CDS	DSHI_RS17935
NC_009955	44759	44436.0	bps	CDS	DSHI_RS18435
NC_009955	44792	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1121132	1121179.0	bps	CDS	DSHI_RS05590
NC_009952	1413331	1413331	bps	IGR	-
NC_009956	70631	70175.5	bps	CDS	DSHI_RS19480
NC_009952	1493801	1493801	bps	IGR	-
NC_009952	2742465	2742465	bps	IGR	-
NC_009952	3544251	3544458.0	bps	CDS	DSHI_RS17080
NC_009958	29430	29430	bps	IGR	-
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	2063511	2066715.0	bps	CDS	DSHI_RS10005
NC_009952	29488	29479.0	bps	CDS	DSHI_RS00120
NC_009955	44792	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	371637	371637	bps	IGR	-
NC_009952	1384088	1383450.0	bps	CDS	DSHI_RS06785
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	298886	298978.5	bps	CDS	DSHI_RS01540
NC_009955	44792	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1972405	1971835.5	bps	CDS	DSHI_RS09650
NC_009952	672481	672215.0	bps	CDS	DSHI_RS03410
NC_009952	1506117	1506117	bps	IGR	-
NC_009952	163354	163473.0	bps	CDS	DSHI_RS00800
NC_009952	1858164	1858164	bps	IGR	-
NC_009952	1998892	1998747.5	bps	CDS	DSHI_RS09770
NC_009952	3043095	3042416.5	bps	CDS	DSHI_RS14645
NC_009952	583588	583369.0	bps	CDS	DSHI_RS03010
NC_009952	766466	765914.5	bps	CDS	DSHI_RS03860
NC_009957	92652	92646.5	bps	CDS	DSHI_RS20260
NC_009952	1768195	1767813.5	bps	CDS	DSHI_RS08640
NC_009952	880727	880831.0	bps	CDS	DSHI_RS04430
NC_009955	120607	120607	bps	IGR	-
NC_009952	2867544	2867012.5	bps	CDS	DSHI_RS13740
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	1754392	1753843.5	bps	CDS	DSHI_RS08575
NC_009952	1841909	1842460.5	bps	CDS	DSHI_RS09035
NC_009952	2431803	2431865.5	bps	CDS	DSHI_RS11695
NC_009955	44792	44436.0	bps	CDS	DSHI_RS18435
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1857458	1856127.5	bps	CDS	DSHI_RS09095
NC_009952	2178388	2179706.5	bps	CDS	DSHI_RS10485
NC_009952	921953	921835.5	bps	CDS	DSHI_RS04595
NC_009955	88588	88759.0	bps	CDS	DSHI_RS18610
NC_009952	735442	734473.5	bps	CDS	DSHI_RS03715
NC_009952	429653	429834.0	bps	CDS	DSHI_RS02250
NC_009952	3544251	3544458.0	bps	CDS	DSHI_RS17080
NC_009952	967259	967057.0	bps	CDS	DSHI_RS04810
NC_009952	1167172	1167185.0	bps	CDS	DSHI_RS05820
NC_009952	2178261	2178261	bps	IGR	-
NC_009952	2476269	2476376.0	bps	CDS	DSHI_RS11920
NC_009952	287816	287860.0	bps	CDS	DSHI_RS01440
NC_009952	3384872	3385040.5	bps	CDS	DSHI_RS16295
NC_009952	598253	598463.5	bps	CDS	DSHI_RS03075
NC_009956	10585	10585	bps	IGR	-
NC_009952	2555034	2555034	bps	IGR	-
NC_009952	753782	753952.0	bps	CDS	DSHI_RS03810
NC_009952	788263	789098.0	bps	CDS	DSHI_RS04005
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	2386274	2386014.5	bps	CDS	DSHI_RS11500
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009959	45875	45439.5	bps	CDS	DSHI_RS21065
NC_009952	1261900	1262494.5	bps	CDS	DSHI_RS06235
NC_009952	2822792	2822619.0	bps	CDS	DSHI_RS13525
NC_009952	298653	298978.5	bps	CDS	DSHI_RS01540
NC_009952	737930	738142.5	bps	CDS	DSHI_RS03725
NC_009952	2404775	2403583.5	bps	CDS	DSHI_RS11580
NC_009952	1261900	1262494.5	bps	CDS	DSHI_RS06235
NC_009952	1441704	1441183.0	bps	CDS	DSHI_RS07060
NC_009952	637874	638064.5	bps	CDS	DSHI_RS03265
NC_009952	1031535	1030860.5	bps	CDS	DSHI_RS05115
NC_009952	2780463	2780270.5	bps	CDS	DSHI_RS13290
NC_009952	3695723	3695723	bps	IGR	-
NC_009952	2854516	2854516	bps	IGR	-
NC_009952	3273288	3273313.0	bps	CDS	DSHI_RS15750
NC_009952	1458142	1458189.0	bps	CDS	DSHI_RS07145
NC_009952	3544251	3544458.0	bps	CDS	DSHI_RS17080
NC_009952	623750	623501.5	bps	CDS	DSHI_RS03200
NC_009952	227500	227500	bps	IGR	-
NC_009952	3486394	3487697.0	bps	CDS	DSHI_RS16845
NC_009952	570759	569999.0	bps	CDS	DSHI_RS02940
NC_009955	132464	131903.5	bps	CDS	DSHI_RS18815
NC_009952	2238123	2238123	bps	IGR	-
NC_009952	2501971	2501971	bps	IGR	-
NC_009952	243180	243180	bps	IGR	-
NC_009952	3001113	3001031.0	bps	CDS	DSHI_RS14430
NC_009952	1462567	1462531.0	bps	CDS	DSHI_RS07165
NC_009952	2029593	2029671.5	bps	CDS	DSHI_RS09890
NC_009952	2046522	2046849.5	bps	CDS	DSHI_RS09955
NC_009957	34839	35882.0	bps	CDS	DSHI_RS20020
NC_009957	34840	35882.0	bps	CDS	DSHI_RS20020
NC_009952	474342	474342	bps	IGR	-
NC_009952	3295688	3295472.0	bps	CDS	DSHI_RS15855
NC_009952	2628297	2628297	bps	IGR	-
NC_009952	379843	380920.5	bps	CDS	DSHI_RS02000
NC_009952	1246546	1246069.0	bps	CDS	DSHI_RS06165
NC_009952	2390603	2390551.5	bps	CDS	DSHI_RS11515
NC_009952	2931086	2930710.0	bps	CDS	DSHI_RS14055
NC_009952	3092218	3092269.5	bps	CDS	DSHI_RS14890
NC_009952	3384244	3384244	bps	IGR	-
NC_009952	3384245	3384245	bps	IGR	-
NC_009952	382610	382863.5	bps	CDS	DSHI_RS02005
NC_009952	1655913	1655820.0	bps	CDS	DSHI_RS08085
NC_009952	1241976	1242056.0	bps	CDS	DSHI_RS06130
NC_009952	3779885	3779885	del	IGR	-
NC_009952	2316000	2315978.0	del	CDS	DSHI_RS11140
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2333855	2334524.0	ins	CDS	DSHI_RS11225
NC_009952	3390706	3390706	del	IGR	-
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009958	67073	67390.0	ins	CDS	DSHI_RS20755
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	685367	685473.0	del	CDS	DSHI_RS03470
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009958	67073	67390.0	ins	CDS	DSHI_RS20755
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	396687	396687	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	3390279	3390279	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	168701	168720.0	del	CDS	DSHI_RS00815
NC_009952	3391193	3391193	del	IGR	-
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	2051020	2051719.0	ins	CDS	DSHI_RS09975
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	397409	397409	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1205483	1205918.0	del	CDS	DSHI_RS05990
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	3390766	3390766	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2088888	2088888	ins	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1104221	1104221	ins	IGR	-
NC_009952	3328587	3328268.5	ins	CDS	DSHI_RS16040
NC_009952	396555	396555	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2628150	2628150	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	3392046	3392046	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2074693	2075002.5	ins	CDS	DSHI_RS10020
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1838577	1838635.5	ins	CDS	DSHI_RS09015
NC_009952	2993428	2993428	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	345994	345378.0	ins	CDS	DSHI_RS01815
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2920408	2920826.0	del	CDS	DSHI_RS14010
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2887694	2887449.0	del	CDS	DSHI_RS13835
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1440466	1440466	ins	IGR	-
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009956	47770	47383.5	del	CDS	DSHI_RS21960
NC_009952	1104221	1104221	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2502971	2502906.0	del	CDS	DSHI_RS12065
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	397475	397475	del	IGR	-
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	223840	223840	ins	IGR	-
NC_009952	396555	396555	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1547161	1547163.5	del	CDS	DSHI_RS07580
NC_009952	685253	685473.0	del	CDS	DSHI_RS03470
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	891094	891094	ins	IGR	-
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1726775	1726886.5	del	CDS	DSHI_RS08455
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009956	18883	18883	del	IGR	-
NC_009956	18889	18889	ins	IGR	-
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	3429786	3430225.5	del	CDS	DSHI_RS16540
NC_009952	396949	396949	del	IGR	-
NC_009952	449084	449084	ins	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	2570067	2570067	ins	IGR	-
NC_009952	3382744	3382808.5	del	CDS	DSHI_RS16290
NC_009952	2546805	2546805	del	IGR	-
NC_009952	3391193	3391193	del	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	1104221	1104221	ins	IGR	-
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	3779885	3779885	del	IGR	-
NC_009952	1266833	1265575.0	ins	CDS	DSHI_RS06245
NC_009952	2887694	2887449.0	ins	CDS	DSHI_RS13835
NC_009952	344878	345378.0	del	CDS	DSHI_RS01815
NC_009952	1898646	1898542.5	del	CDS	DSHI_RS09290
NC_009952	2938138	2938588.0	ins	CDS	DSHI_RS14095
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	3150002	3149732.5	ins	CDS	DSHI_RS15130
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
NC_009952	61743	61658.0	ins	CDS	DSHI_RS00290
