GNMUID	Genome ID	Completeness	Contamination	Genome size (bp)	estimated size
GNM017854895	Planktomarina sp. DEBay_Spr20G08_22	98.34	0	2424916	2465849 
GNM022824005	Rhodobacteraceae bacterium jk18x8bins.29	91.38	0	2261279	2474589 
GNM015689535	FZCC0069	99.39	0.3	2474302	2481996 
GNM017852215	Planktomarina sp. DEBay_Sum22NG08_41	91.15	1.1	2296761	2489714 
GNM016780825	Planktomarina sp. BS301-5m-G9	93.43	0.65	2342938	2490368 
GNM905181935	Amylibacter sp. FRAM18_bin019	95.53	0.14	2385254	2493210 
GNM017858995	Planktomarina sp. DEBay_Sum29NL08_97	96.45	0.37	2421483	2501015 
GNM023254495	Marivivens sp. YM.5	91.16	4.31	2394360	2507971 
GNM015689575	FZCC0188	99.7	0.71	2522572	2512272 
GNM018664305	Rhodobacteraceae bacterium SI075_bin45	93.47	3.9	2453223	2519485 
GNM017859495	Rhodobacteraceae bacterium DEBay_Sum29NG08_50	96.76	1.06	2467008	2521987 
GNM015689545	HKCCA1058	98.88	0.3	2510677	2531435 
GNM017857025	Planktomarina sp. CPBay_Spr30L08_32	97.63	0.14	2476766	2533258 
GNM902732755	Planktomarina sp. Planktomarina sp. SW04_Bin04	95.02	0.38	2419173	2535821 
GNM018608055	Planktomarina temperata HE327_NSB059	97.58	0.18	2479254	2536062 
GNM015689775	LSUCC0387	98.27	0.3	2509790	2546201 
GNM017854085	Planktomarina sp. DEBay_Spr30L08_28	98.39	0.07	2514476	2553805 
GNM017854215	Planktomarina sp. DEBay_Spr30L08_20	98.34	0.04	2520666	2562173 
GNM014872825	Rhodobacteraceae bacterium MAG11	98.79	0.61	2548972	2564358 
GNM913064815	uncultured Rhodobacteraceae bacterium ERR2098401_bin.43_MetaBAT_v2.12.1_MAG	93.26	0.2	2404768	2573045 
GNM017859225	Rhodobacteraceae bacterium DEBay_Sum29NL08_60	92.19	0.39	2388215	2579623 
GNM014359815	Roseovarius sp. MAG-84	95.84	0.1	2478787	2583685 
GNM017852835	Rhodobacteraceae bacterium DEBay_Sum22DL08_15	91.21	0.23	2363425	2584673 
GNM013373465	Marivivens sp. HF-Dia39	95.36	0.95	2493189	2588712 
GNM017854375	Planktomarina sp. DEBay_Spr30G08_27	97.99	0.15	2540849	2589004 
GNM012270105	Rhodobacteraceae bacterium SW22112_bin_28	92.96	3.37	2504502	2599919 
GNM001627925	Rhodobacteraceae bacterium REDSEA-S34_B6	90.34	2.09	2413873	2611569 
GNM017859635	Rhodobacteraceae bacterium DEBay_Sum29DG08_79	93.16	0.3	2441091	2611910 
GNM002746395	Rhodobacteraceae bacterium NORP23	98.09	1.83	2610544	2612634 
GNM015689655	HKCCA1065	99.39	0.67	2615426	2613858 
GNM017853095	Planktomarina sp. DEBay_Sum22DG08_118	95.25	0.35	2501363	2616488 
GNM009920775	Rhodobacteraceae bacterium WB5_5_100	91.84	1.33	2441219	2620177 
GNM905181815	Planktomarina sp. FRAM18_bin059	96.06	0.25	2543870	2641335 
GNM021647745	Rhodobacteraceae bacterium D96SM.bin.8	96.18	2.14	2603658	2648147 
GNM015693905	HKCCA1288	99.7	0.3	2663031	2663031 
GNM015487255	Rhodobacteraceae bacterium S012_9	93.19	4.8	2616505	2670176 
GNM913060475	uncultured Rhodobacteraceae bacterium SRR4030076_bin.62_MetaBAT_v2.12.1_MAG	94.58	0	2543966	2689750 
GNM014359765	Roseovarius sp. MAG-85	97.76	0.6	2646184	2690305 
GNM003228875	Rhodobacterales bacterium SZUA-151	96.19	0.83	2614238	2694535 
GNM017857355	Planktomarina sp. CPBay_Spr30G08_54	93.27	1.19	2545863	2695176 
GNM002748285	Rhodobacterales bacterium DOLJORAL78_59_82	94.01	1.13	2579429	2711193 
GNM023260575	Rhodobacteraceae bacterium FCJ.14	92.3	4.03	2614275	2713874 
GNM018665545	Rhodobacteraceae bacterium SI073_bin51	90.42	2.42	2529219	2724277 
GNM900156525	Pontibaca methylaminivorans DSM 21219	96.48	0.31	2650984	2738903 
GNM905182105	Rhodobacteraceae bacterium FRAM18_bin053	96.01	0.32	2663310	2764777 
GNM002117445	Ketogulonicigenium robustum SPU_B003	97.86	0	2713835	2773181 
GNM017856985	Planktomarina sp. CPBay_Spr30L08_38	92.24	0.49	2580734	2783063 
GNM003003095	Hasllibacter halocynthiae DSM 29318	98.93	0.76	2784625	2793284 
GNM015491895	Albidovulum sp. S140_23	98.4	1.4	2790946	2796539 
GNM018608135	Ascidiaceihabitans sp. HE327_NSB055	96.03	0.15	2690029	2796869 
GNM913054315	uncultured Rhodobacteraceae bacterium ERR559527_bin.47_MetaBAT_v2.12.1_MAG	93.4	0.81	2636873	2798931 
GNM019651115	Rhodobacteraceae bacterium CM1_5m.P54	91.17	0	2553469	2800778 
GNM017859535	Rhodobacteraceae bacterium DEBay_Sum29DL08_59	93.63	1.21	2670537	2815834 
GNM014323785	Rhodobacteraceae bacterium GM7ARB1	90.45	0.19	2553113	2816762 
GNM900114125	Nereida ignava DSM 16309	99.69	0.92	2837944	2820738 
GNM020630595	Planktomarina sp. MAG-101	96.71	0.3	2739834	2824280 
GNM018645465	Rhodobacteraceae bacterium SI034_bin54	95.91	3.26	2803710	2827176 
GNM018623245	Rhodobacteraceae bacterium KhW_metabat.28	91.82	1.79	2649208	2830048 
GNM023630215	Rhodobacteraceae bacterium NBU2976  strain=NBU2976	99.2	0.2	2815844	2832841 
GNM020629235	Planktomarina sp. MAG-163	90.62	0.77	2589177	2833108 
GNM023253315	Aestuarium sp. MLJ.15	96.73	4.43	2870298	2837384 
GNM023541015	Marivivens donghaensis  strain=KCTC 42776	99.7	0.4	2840705	2837867 
GNM016780545	Rhodobacteraceae bacterium BS301-5m-G20	92.23	0.58	2646920	2851977 
GNM018608045	Octadecabacter sp. HE327_NSB057	96.36	0.64	2778431	2864362 
GNM023254745	Lentibacter algarum XMJ.15	92.47	2.6	2724833	2866133 
GNM022819845	Rhodobacteraceae bacterium p16x44bins.9	90.11	1.2	2618807	2868040 
GNM001404155	Nereida ignava CECT 5292	99.69	0.92	2888349	2870837 
GNM016778765	Rhodobacteraceae bacterium BS307-5m-G16	95.2	0.2	2742288	2874516 
GNM016777665	Rhodobacteraceae bacterium BS30m-G11	92.47	0.2	2672815	2884229 
GNM016653305	Rhodovulum imhoffii DSM 18064	98.48	0.61	2861316	2887593 
GNM019651735	Rhodobacterales bacterium CM1_5m.P85	92.35	0.23	2674623	2888986 
GNM002094885	Rhodobacteraceae bacterium WDS1C4	99.69	0.92	2916130	2898449 
GNM022823605	Rhodobacteraceae bacterium p16x60bins.67	90.11	0	2620929	2908588 
GNM000299575	Oceaniovalibus guishaninsula JLT2003	99.39	0.15	2897133	2910521 
GNM015490915	Albidovulum sp. S141_27	97.7	1.9	2905343	2917011 
GNM905182645	Sulfitobacter sp. FRAM18_bin033	91.43	0.25	2674666	2917393 
GNM009886645	Rhodobacteraceae bacterium NorthSea_HE361-02_B20	90.09	0.41	2646766	2924603 
GNM913045975	uncultured Rhodobacteraceae bacterium ERR599035_bin.14_MetaBAT_v2.12.1_MAG	90.17	1.6	2690484	2931769 
GNM002748265	Rhodobacterales bacterium DOLJORAL78_64_13	92	2.96	2785211	2933036 
GNM905182355	Rhodobacteraceae bacterium FRAM18_bin049	92.73	0.64	2740033	2934597 
GNM002378665	Loktanella sp. UBA3435	95.87	0.61	2833970	2937365 
GNM015871245	Sulfitobacter sp. B30-2	99.68	0	2928325	2937726 
GNM002478745	Rhodobacteraceae bacterium UBA7436	96.57	2.43	2912861	2942284 
GNM016307205	Pontibaca sp. S1109L S1109L	98.83	0.64	2934809	2950446 
GNM020630015	Planktomarina sp. MAG-128	97.28	0.22	2878783	2952598 
GNM018672705	Rhodobacteraceae bacterium SI037_bin177	96.29	2.09	2911885	2959834 
GNM016938875	Rhodobacteraceae bacterium ZodW_maxbin.058	97.55	0.61	2908307	2962823 
GNM900114275	Celeribacter marinus DSM 100036	99.69	0	2955318	2964508 
GNM002333375	Loktanella sp. UBA2038	94.09	0.51	2808629	2968952 
GNM002421985	Roseovarius sp. UBA6217	95.73	0.67	2863271	2970198 
GNM018670515	Rhodobacteraceae bacterium SI037S4_bin50	93.74	0.97	2831588	2989746 
GNM913063305	uncultured Rhodobacteraceae bacterium SRR4030058_bin.105_MetaBAT_v2.12.1_MAG	95.28	1.24	2886114	2990172 
GNM009886195	Rhodobacteraceae bacterium NorthSea_HE361-14_B44	97.12	0.86	2935626	2996148 
GNM2504756015	Roseobacter sp. LE17	98.65	0.3	2967934	2999428 
GNM014859355	Yoonia sp. Kmv28	99.09	0	2978544	3005898 
GNM002742285	Amylibacter kogurei 4G11	99.08	0	2982417	3010110 
GNM023263545	Lutimaribacter sp. FCJ.43	92.17	3.15	2877763	3019055 
GNM018067025	Sulfitobacter litoralis Lab_640_Crude_bin.18	96.74	2.39	2998154	3024467 
GNM022425525	Rhodobacteraceae bacterium MOX_bin69	97.73	0.45	2969946	3025001 
GNM015689735	LSUCC0031	98.48	0	2983614	3029665 
GNM017854555	Rhodobacteraceae bacterium DEBay_Spr20G08_51	93.26	0.91	2856144	3032966 
GNM913053675	uncultured Rhodobacteraceae bacterium ERR598994_bin.43_MetaBAT_v2.12.1_MAG	98.33	0.15	2986936	3033038 
GNM913009795	uncultured Rhodobacteraceae bacterium SRR5976592_bin.49_MetaBAT_v2.12.1_MAG	96.49	0.87	2970088	3050624 
GNM011048875	Rhodovulum sp. SpSt-1210	97.2	1	2996907	3051840 
GNM002150005	Marivivens niveibacter MCCC 1A06712	100	0.61	3072121	3053495 
GNM002480425	Roseovarius sp. UBA7808	91.22	0.99	2818279	3056370 
GNM016764475	Amylibacter sp. NORP268	94.96	4.43	3044766	3063453 
GNM019454835	Rubellimicrobium sp. BROCD027	93.38	0.46	2874859	3063575 
GNM913064625	uncultured Rhodobacteraceae bacterium ERR2098379_bin.56_MetaBAT_v2.12.1_MAG	92.8	1.45	2890110	3066430 
GNM913061505	uncultured Lutimaribacter sp. SRR4030076_bin.9_MetaBAT_v2.12.1_MAG	98.18	0	3011428	3067252 
GNM913062865	uncultured Rhodobacteraceae bacterium SRR4030058_bin.107_MetaBAT_v2.12.1_MAG	90.17	0.64	2786720	3068737 
GNM020627745	Pseudooctadecabacter sp. MAG-39	95.69	0	2941682	3074179 
GNM018652205	Rhodobacteraceae bacterium SI048_bin51	96.21	1.7	3011958	3076252 
GNM020141465	Roseovarius sp. LXJ103  strain=LXJ103	98.93	0.2	3050628	3077401 
GNM000152785	Yoonia vestfoldensis SKA53	99.45	0.15	3066852	3079169 
GNM021648305	Marinosulfonomonas sp. D96SM.bin.30	95.9	1.22	2991527	3080238 
GNM018402175	Yoonia sp. M30B39	97.23	0.46	3009573	3080738 
GNM009887035	Rhodobacteraceae bacterium NorthSea_HE361-13_B02	97.52	0.15	3018217	3090219 
GNM001855295	Ketogulonicigenium vulgare SPU B805	97.4	0.61	3032608	3094182 
GNM003814915	Pacificibacter maritimus DSM 104731	99.39	0	3084248	3103177 
GNM001308265	Celeribacter marinus IMCC12053	99.69	0	3096705	3106335 
GNM011389895	Maritimibacter sp. S23.Bin089	98.69	0.38	3079675	3108585 
GNM003122245	Pelagicola sp. LXJ1103	99.62	0.15	3103730	3110885 
GNM001693655	Ketogulonicigenium vulgare SKV	96.79	0.61	3032522	3113472 
GNM023263105	Marivivens sp. HJD.10	92.98	2.38	2969069	3113537 
GNM018607915	Tateyamaria sp. HE327_NSB063	97.43	0	3035478	3115548 
GNM913061375	Monaibacterium marinum SRR3933380_bin.12_MetaBAT_v2.12.1_MAG	98.47	0	3068653	3116333 
GNM001673765	Donghicola sp. JL3646	99.69	0.41	3123447	3120327 
GNM019090885	Marinosulfonomonas sp. DC_out84	92.62	2.17	2959026	3121665 
GNM017542965	Loktanella sp. RGIG5662	96.2	1.06	3036440	3121982 
GNM000472185	Rhodobacteraceae sp. HIMB11	98.93	0.31	3098747	3122478 
GNM003001835	Albidovulum xiamenense DSM 24422	99.69	0.2	3125442	3128884 
GNM900102905	Albidovulum xiamenense CGMCC 1.10789	99.69	0.2	3127641	3131085 
GNM018675475	Marinovum sp. SI034_bin9	96.52	1.79	3078622	3131545 
GNM004360145	Aliiroseovarius marinus A6024	100	0	3133413	3133413 
GNM018402035	Roseicyclus sp. M30B42	94.5	2.17	3029878	3134248 
GNM002378545	Rhodobacteraceae bacterium UBA3443	92.4	2.52	2977322	3136665 
GNM003385555	Rhodosalinus sediminis WDN1C137	99.69	0.92	3156146	3137010 
GNM002378625	Rhodobacteraceae bacterium UBA3438	96.67	1.15	3069130	3137528 
GNM023258275	Rhodobacteraceae bacterium HJW.11	93.45	4.97	3091413	3141041 
GNM001908835	Marivivens sp. JLT3646	99.69	0.41	3147211	3144067 
GNM905480645	Tateyamaria sp. 0.2_20180522_Bin_MAXBIN_086_sub_1	97.43	0.32	3074632	3145404 
GNM023255435	Marivivens sp. QJ.1	90.72	0.93	2887480	3150551 
GNM913063515	uncultured Rhodobacterales bacterium SRR3580189_bin.40_MetaBAT_v2.12.1_MAG	97.65	1.57	3135451	3160100 
GNM004343505	Rhodovulum bhavnagarense	99.24	0.46	3155944	3165440 
GNM021654165	Nereida sp. MMG025  strain=MMG025	98.94	0	3133485	3167056 
GNM018607995	Planktotalea sp. HE327_NSB060	98.53	0	3132569	3179305 
GNM017857445	Planktomarina sp. CPBay_Spr30G08_44	98.04	2.34	3192057	3179973 
GNM2802428804	Rhodovulum bhavnagarense DSM 24766	98.64	0.45	3155944	3184927 
GNM023540835	Paradonghicola geojensis  strain=FJ12	99.39	0.57	3184122	3185396 
GNM913061335	uncultured Loktanella sp. SRR3933389_bin.6_MetaBAT_v2.12.1_MAG	95.39	1.39	3086631	3189327 
GNM009184395	Amylibacter sp. SFDW26	98.33	0	3136101	3189363 
GNM900115105	Yoonia tamlensis DSM 26879	99.69	0.31	3190947	3190947 
GNM913049835	uncultured Marinovum sp. ERR598965_bin.159_MetaBAT_v2.12.1_MAG	93.26	2.35	3051082	3191175 
GNM016744015	Rhodobacteraceae bacterium OB9	96.64	1.68	3137815	3191431 
GNM913009855	uncultured Loktanella sp. SRR5976593_bin.7_MetaBAT_v2.12.1_MAG	94.16	1.14	3041767	3191781 
GNM018607965	Planktotalea sp. HE327_NSB061	93.86	0	3002828	3199263 
GNM002352425	Rhodobacteraceae bacterium UBA2776	97.58	2.19	3197922	3205294 
GNM018223085	Rhodobacteraceae bacterium P03SST1bin.14	93.29	0.7	3016074	3208931 
GNM006844665	Rhodobacteraceae bacterium BinT2.007	90.79	0.99	2945199	3208977 
GNM010500215	Aliiroseovarius sp. PrR006	99.7	0.56	3218800	3210453 
GNM913062635	uncultured Rhodobacterales bacterium SRR3580189_bin.39_MetaBAT_v2.12.1_MAG	97.87	0.32	3152560	3210673 
GNM000671395	Actibacterium atlanticum 22II-S11-Z10	98.26	0.61	3176383	3212686 
GNM023195575	Aliiroseovarius sp. S2029  strain=S2029	99.9	0.32	3221928	3214855 
GNM014652655	Amylibacter ulvae KCTC 32465	98.18	0.3	3169477	3218397 
GNM017854415	Yoonia sp. DEBay_Spr30G08_22	95.27	1.65	3120649	3219819 
GNM019448215		99.68	0.16	3218854	3224012 
GNM022763445	Rhodovulum sp. HH_bin21	92.62	1.61	3039749	3225882 
GNM009711895	Sediminimonas qiaohouensis MES6	99.55	0.3	3223358	3228200 
GNM023015885	Aliiroseovarius sp. S1123  strain=S1123	99.39	0.76	3233825	3228982 
GNM009924775	Rhodobacteraceae bacterium WB4_7_009	96.67	4.64	3272252	3229940 
GNM017855675	Rhodobacteraceae bacterium CPBay_Sum15L08_70	92.11	0.37	2988198	3231183 
GNM022822495	Rhodobacteraceae bacterium jk18x9bins.35	90.01	0	2910643	3233688 
GNM003551805	Loktanella sp. B1Sed10_179	92.58	3.81	3118247	3235032 
GNM014199445	Rubricella aquisinus DSM 103377	100	0.13	3243171	3238960 
GNM009833495	Rhodobacteraceae bacterium KN286	100	0.4	3255458	3242488 
GNM006064855	Sulfitobacter sp. BSw21498	99.69	0.31	3244919	3244919 
GNM900185015	Octadecabacter ascidiaceicola CECT 8868	99.39	0.2	3233060	3246370 
GNM016744435	Lentibacter sp. BB33	98.72	1.32	3253209	3251908 
GNM017798205	Cognatishimia activa ECT2AJA-044	100	0	3252335	3252335 
GNM013283585	xm-a-151	99.7	0.4	3257283	3254029 
GNM020447305	Rhodobacteraceae bacterium 960558  strain=960558	98.1	0.73	3217815	3255909 
GNM003129565	Rhodobacteraceae bacterium WDS4C29	100	0.31	3272033	3261921 
GNM013283495	xm-v-204	99.7	0.4	3265630	3262368 
GNM013283165	xm-a-104	99.7	0.4	3266724	3263461 
GNM900142425	Octadecabacter temperatus DSM 26878	99.39	0.61	3263882	3263882 
GNM001187845	Octadecabacter temperatus SB1	99.39	0.61	3264628	3264628 
GNM018066785	Sulfitobacter litoralis Lab_640_Diesel_bin.3	91.26	2.27	3054507	3265805 
GNM013283035	xm-m-379	99.7	0.4	3270267	3267000 
GNM002336405	Rhodobacteraceae bacterium UBA1957	91	0.31	2983168	3267077 
GNM900129845	Cognatiyoonia sediminum DSM 28715	99.39	0.31	3257490	3267292 
GNM018607905	Rhodobacteraceae bacterium HE327_NSB064	96.67	0.3	3172758	3271896 
GNM009994625	Roseovarius sp. CG_2015-04_63_17	92.2	0.63	3037957	3272603 
GNM020629175	Flavimaricola sp. MAG-165	95.55	0.3	3137858	3273717 
GNM007125415	Roseovarius sp. CSSed162cmB_535	93.3	0.95	3085983	3274253 
GNM013283055	xm-m-378	99.7	0.4	3282870	3279590 
GNM013283135	xm-d-517 (pacbio)	99.7	0.4	3282936	3279656 
GNM013283605	xm-a-134	99.7	0.4	3283027	3279747 
GNM013283445	xm-v-225	99.7	0.4	3283060	3279780 
GNM900129685	Cognatishimia maritima DSM 28223	99.69	0.31	3284915	3284915 
GNM913063035	uncultured Maritimibacter sp. SRR4030058_bin.86_MetaBAT_v2.12.1_MAG	98	0	3224209	3290009 
GNM913057125	Rhodosalinus sediminis SRR4030062_bin.41_MetaBAT_v2.12.1_MAG	97.88	0.97	3255020	3292888 
GNM008124525	Oceanicella actignis DSM 22673	99.31	0.31	3282673	3295195 
GNM018672095	Tateyamaria sp. SI037_bin200	96.51	1.65	3234604	3295236 
GNM900107355	Lentibacter algarum DSM 24677	99.69	0.15	3293487	3298765 
GNM017859215	Rhodobacteraceae bacterium DEBay_Sum29NL08_55	98.06	0	3235985	3300005 
GNM020441425	Rhodobacteraceae bacterium HKST-UBA84	92.68	1.8	3118866	3301086 
GNM905182665	Octadecabacter sp. FRAM18_bin085	93.43	0.61	3107017	3303931 
GNM002850435	Rhodobacteraceae bacterium G7	100	0.92	3336108	3305696 
GNM000738435	Planktomarina temperata RCA23	99.29	0.15	3288122	3306639 
GNM002166865	Rhodobacteraceae bacterium WFHF2C18	99.69	1.89	3361844	3309553 
GNM022760435	Neomegalonema sp. CC_bin21	100	0.4	3326188	3312936 
GNM021775375	Amylibacter sp. OFTM131	94.08	2.95	3215489	3313912 
GNM013283535	xm-g-7	99.7	0.46	3320255	3314951 
GNM018861045	Octadecabacter sp. B2R22 B2R22	99.25	0.76	3317300	3316968 
GNM2616645028	Dpulchra_bleached_metagenome_bin332	97.23	0	3226213	3318125 
GNM022678485	Aliiroseovarius sp. N1F302  strain=N1F302	99.09	0.86	3316613	3318272 
GNM020425085	Rhodobacteraceae bacterium HKST-UBA102	99.7	0.81	3336071	3319143 
GNM913020455	uncultured Rhodovulum sp. ERR599044_bin.33_MetaBAT_v2.12.1_MAG	99.7	1.83	3370157	3319371 
GNM018676075	Tateyamaria sp. SI034_bin61	96.27	1.04	3231937	3321279 
GNM011806565	Marivivens donghaensis HF1	99.7	0.76	3337074	3321794 
GNM002167505	Sulfitobacter sp. TMED3	98.73	0.54	3301219	3325495 
GNM900609015	Rhodobacteraceae bacterium THAF1	99.69	0.2	3322741	3326400 
GNM013283565	xm-v-201	99.7	0.46	3332057	3326734 
GNM013283525	xm-m-309	99.7	0.46	3332128	3326805 
GNM018067245	Sulfitobacter sp. 640_Coassembly_bin.29	97.12	0.46	3246326	3326835 
GNM017643845	Marivivens sp. HCUG1434-3	95.33	0.36	3186848	3330388 
GNM900114675	Yoonia litorea DSM 29433	99.69	0	3323467	3333802 
GNM023016155	Aliiroseovarius sp. F20344  strain=F20344	99.7	1.01	3359034	3335353 
GNM016278325	Actibacterium sp. Soudan_12_2	97.27	0	3248763	3339943 
GNM900302485	Aliiroseovarius pelagivivens CECT 8811	99.39	0.31	3331553	3341578 
GNM001399515	Ketogulonicigenium vulgare Hbe602	97.4	0.61	3276390	3342914 
GNM000223375	Ketogulonicigenium vulgare WSH-001	97.4	0.61	3277101	3343639 
GNM002094875	Brevirhabdus pacifica 22DY15	97.56	1.38	3308297	3343741 
GNM018599245	Planktotalea lamellibrachiae DSM 104669	99.6	0.36	3343139	3344477 
GNM021735935	Sulfitobacter sp. M39  strain=M39	99.36	0.32	3340645	3351369 
GNM013283075	xm-m-354	99.7	2.16	3417944	3355531 
GNM900143155	Oceanicella actignis CGMCC 1.10808	99.31	0.31	3344933	3357692 
GNM009904055	Rubellimicrobium sp. CFH 75288	98.54	0.2	3317611	3359946 
GNM900111545	Oceanicella actignis DSM 24423	99.31	0.31	3351072	3363855 
GNM002834145	Roseovarius salinarum N53	100	1.07	3400809	3364806 
GNM015488685	Marinosulfonomonas sp. S010_73	97.97	2.85	3393499	3365899 
GNM018662565	Tateyamaria sp. SI074_bin131	91.68	0.99	3121427	3368325 
GNM009363795	Maribius sp. THAF1	98.94	0.15	3340253	3370928 
GNM002402045	Rhodobacteraceae bacterium NORP78	91.87	3.78	3225590	3372284 
GNM002210125	Loktanella sp. 22II-4b	100	1.22	3418355	3377154 
GNM022447275	Oceanicola sp. ALOHA_ZT_26	98.64	0.97	3364600	3377773 
GNM020531945	Loktanella sp. TSTF-M6  strain=TSTF-M6	98.93	0.56	3360688	3377915 
GNM016278295	Roseovarius sp. Soudan_10	92.78	1.47	3183687	3377917 
GNM002797755	Brevirhabdus pacifica DSM 27767	100	1.22	3424577	3383301 
GNM011601345	Roseovarius gahaiensis ghw877	99.55	0.3	3378519	3383594 
GNM013283095	xm-m-339-2	99.7	0.4	3387700	3384316 
GNM017995835	Amaricoccus sp. Go_SlAct_bin_551	94.9	4.3	3357326	3384401 
GNM007004645	Aliiroseovarius halocynthiae MA1-10	100	0.15	3390631	3385553 
GNM000164885	Ketogulonicigenium vulgare Y25	96.48	0.61	3288404	3386965 
GNM002726465	Roseobacter sp. NP7	97.32	2.45	3379762	3387553 
GNM004358695	Primorskyibacter sp. SS33	99.59	0.61	3397122	3390341 
GNM020631195	Flavimaricola sp. MAG-74	94.12	0.61	3218668	3397728 
GNM003028485	Sulfitobacter sp. CB-A	99.69	0	3389005	3399544 
GNM913061275	uncultured Rhodobacteraceae bacterium SRR3933267_bin.5_MetaBAT_v2.12.1_MAG	98.78	0.91	3390424	3400967 
GNM009993005	Rhodobacterales bacterium CG_2015-22_67_21	98.21	1.82	3403243	3402222 
GNM2617270828	Aliiroseovarius halocynthiae DSM 27840	99.39	0.4	3397723	3404873 
GNM009835145	Profundibacterium mesophilum KAUST100406-0324	98.69	0.71	3388134	3408586 
GNM003072065	Thalassorhabdomicrobium marinisediminis BH-SD16	99.39	1.38	3436448	3410190 
GNM013204485	Rhodobacter sp. bin.118	90.29	1.44	3129530	3411676 
GNM001981245	Brevirhabdus pacifica DY6-4	100	1.22	3453497	3411872 
GNM002162875	Rhodobacterales bacterium 52_120_T64	99.39	0.76	3417319	3412201 
GNM014656375	Aliiroseovarius zhejiangensis KCTC 42443	100	0.3	3422911	3412673 
GNM900172275	Pseudooctadecabacter jejudonensis CECT 8397	99.62	0.31	3412627	3415018 
GNM002375285	Sulfitobacter pontiacus UBA3614	95.64	0.31	3276851	3415165 
GNM000374145	Neomegalonema perideroedes DSM 15528	99.84	0	3409949	3415414 
GNM021775255	Roseovarius sp. OFTM168	98.67	0.7	3395899	3417429 
GNM017792425	Thalassobius sp. m4	98.48	0.61	3386580	3417681 
GNM000765015	Thalassobacter stenotrophicus 1CONIMAR09	99.31	0.31	3411890	3424905 
GNM900156595	Thalassobius mediterraneus DSM 16398	99.39	0	3405551	3426452 
GNM013283115	xm-m-314	99.7	0.53	3439089	3431197 
GNM013283465	xm-v-209	99.7	0.53	3439089	3431197 
GNM900110705	Loktanella sp. DSM 29012	99.08	0.51	3417479	3431548 
GNM016583705	Rhodovulum adriaticum DSM 2781	98.33	1.99	3443091	3432108 
GNM002783205	Rhodobacteraceae bacterium CG17_big_fil_post_rev_8_21_14_2_50_63_15	96.92	0.31	3337271	3432347 
GNM001314705	Rhodobacteraceae bacterium HLUCCO07	99.08	0.76	3426878	3432370 
GNM900109955	Aliiroseovarius sediminilitoris DSM 29439	99.39	0	3413458	3434408 
GNM013283485	xm-v-208	99.7	0.46	3441315	3435818 
GNM011100505	Boseongicola sp. TAW-CT132	99.39	0.66	3444075	3442354 
GNM003205515	Rhodobacteraceae bacterium FSX-11	99.39	0	3421533	3442532 
GNM021532625	Octadecabacter sp. D2-3  strain=D2-3	99.39	0.76	3450422	3445254 
GNM014644355	Actibacterium pelagium CGMCC 1.16012	99.7	0.91	3468018	3446991 
GNM001458335	Cognatishimia activa CECT 5113	97.42	0	3362067	3451106 
GNM015487165	Rhodobacteraceae bacterium S012_94	93.87	4.76	3405207	3452506 
GNM001458435	Thalassobius mediterraneus CECT 5383	99.39	0	3431657	3452719 
